id,Descripción,Link
1,"niño indígena brasileña, retrato de tupi guaraní etnia ",https://media.istockphoto.com/id/1018492986/es/foto/ni%C3%B1o-ind%C3%ADgena-brasile%C3%B1a-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=yfpv_JuJa2bXd-njtP-d04djmzd-CjzDfu_xX6NXzd8=
2,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1017416208/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Mf95l4ocJddj0QcZZCXScWUE87RMcux73bcPRtK090o=
3,"niño brasileño nativo de tupi guarani tribu, brasil ",https://media.istockphoto.com/id/890135444/es/foto/ni%C3%B1o-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-brasil.jpg?s=612x612&w=0&k=20&c=IL4mcI1oj4hj55EEe3hJYxs4f9vKcA3v_IfVJratVuI=
4,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/890135530/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=3YJPbRzslWN98PjOgENhEPjX_aiWK94GPBh9m0SZkvM=
5,pintura tribal en el torso trasero del hombre indígena ,https://media.istockphoto.com/id/1391924977/es/foto/pintura-tribal-en-el-torso-trasero-del-hombre-ind%C3%ADgena.jpg?s=612x612&w=0&k=20&c=XVmC-UtMOlTu8w4ROTPd74i2wmajPMD2yQAIvK6VC0g=
6,"niña indígena de tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889684434/es/foto/ni%C3%B1a-ind%C3%ADgena-de-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=4fIE-qSeE9Wrm3r9BGLyXIATP_e3gqTb7tz8JKX8vi0=
7,anciano chamán indígena de nacionalidad cofán rezando con sus manos unidas en la selva amazónica ,https://media.istockphoto.com/id/1344369440/es/foto/anciano-cham%C3%A1n-ind%C3%ADgena-de-nacionalidad-cof%C3%A1n-rezando-con-sus-manos-unidas-en-la-selva.jpg?s=612x612&w=0&k=20&c=au1iaJlRXFvGXm5c69oEUI-BDMcjs0WdcoJ581_atn4=
8,retrato de hombre joven brasileño indígenas de la etnia guaraní en el hogar ,https://media.istockphoto.com/id/1017445818/es/foto/retrato-de-hombre-joven-brasile%C3%B1o-ind%C3%ADgenas-de-la-etnia-guaran%C3%AD-en-el-hogar.jpg?s=612x612&w=0&k=20&c=w39-r9RZYb5YtQsUnuzkyj97uzzRyflYAnD4RpIMUaI=
9,hombre indígena montando una canoa en el bosque húmedo de brasil ,https://media.istockphoto.com/id/1391955317/es/foto/hombre-ind%C3%ADgena-montando-una-canoa-en-el-bosque-h%C3%BAmedo-de-brasil.jpg?s=612x612&w=0&k=20&c=11ccIV2-dPS4KEWoQE4_X7TysPgB14ViCIh3d732ziA=
10,hombre autóctonos de caza de amazon ,https://media.istockphoto.com/id/108176337/es/foto/hombre-aut%C3%B3ctonos-de-caza-de-amazon.jpg?s=612x612&w=0&k=20&c=XKMr9qAKWx580DGExP7lO-vKzmgG5a_xA1sz_ctRMyA=
11,"mujer brasileña indígena, de etnia guaraní, cocina ""xipa"" ",https://media.istockphoto.com/id/1017440404/es/foto/mujer-brasile%C3%B1a-ind%C3%ADgena-de-etnia-guaran%C3%AD-cocina-xipa.jpg?s=612x612&w=0&k=20&c=Hp56LyS5poYgyw3SMa_3eyNGWKpDsyjNfOjcdft9Maw=
12,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.istockphoto.com/id/1017659134/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=yDIs-sDvUPELPFlHgPApv5GEdjZWON7Fw8HctcyRY90=
13,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1018409392/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=hpGFssQSRHCEjzq0zOyuL_5vWCXqlspYZZWs3xS1Xzo=
14,espalda de hombre indígena pintado con arte corporal tribal ,https://media.istockphoto.com/id/1392313577/es/foto/espalda-de-hombre-ind%C3%ADgena-pintado-con-arte-corporal-tribal.jpg?s=612x612&w=0&k=20&c=qfH8G33NlA2sQTgwMP7FnfIl85n18QplrHYR454xHF4=
15,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1018404048/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=ng5oQtwnICtLh68ADV1kmH3Mx952NPas13wC5ReAdXE=
16,joven indígena de complexión musculosa con pintura corporal ,https://media.istockphoto.com/id/1392104801/es/foto/joven-ind%C3%ADgena-de-complexi%C3%B3n-musculosa-con-pintura-corporal.jpg?s=612x612&w=0&k=20&c=TXtcMuLT-Yp5Ly47KsIhaPvXIIkQRbRqIJmRnAY9B7Q=
17,nativo brasileño retrato de mujeres ,https://media.istockphoto.com/id/497753120/es/foto/nativo-brasile%C3%B1o-retrato-de-mujeres.jpg?s=612x612&w=0&k=20&c=DZDnz_vzsZhZdiG4RmRojkjgBPRWXZalOuQU0Ri-o8w=
18,mujer indígena amazónica pintando mokawas ,https://media.istockphoto.com/id/1225271110/es/foto/mujer-ind%C3%ADgena-amaz%C3%B3nica-pintando-mokawas.jpg?s=612x612&w=0&k=20&c=pKGepAwpY0Ops1k90fZTGWmEWF2mfPRY1e36u6_5Gdg=
19,nativo brasileño retrato de mujeres ,https://media.istockphoto.com/id/518003356/es/foto/nativo-brasile%C3%B1o-retrato-de-mujeres.jpg?s=612x612&w=0&k=20&c=fFyKIOvez6YQ5bnl6cGVARCnWSHmfT0HNuxAbdv2d54=
20,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.istockphoto.com/id/1017663348/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=viQV_PEMcII0-TY9CZ_PdOgIFatxF_BMrKHFXN13uaM=
21,retrato de niño nativos brasileño ,https://media.istockphoto.com/id/495835218/es/foto/retrato-de-ni%C3%B1o-nativos-brasile%C3%B1o.jpg?s=612x612&w=0&k=20&c=m_3cxhKi7rWunn7i7wvy88pkXPRkJiNVH6ceFQBduh0=
22,hombre indígena con pintura tribal corporal ,https://media.istockphoto.com/id/1391954154/es/foto/hombre-ind%C3%ADgena-con-pintura-tribal-corporal.jpg?s=612x612&w=0&k=20&c=mu7uav4S1QsHYnRoK0eb3hWbOGfAszQSlAyrjBHCQPk=
23,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.istockphoto.com/id/1018764064/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=CHUyD1VK9_yEw-PHdfn_grCPWqeLtQPWr3C58UiG33o=
24,indígenas brasileño joven haciendo una mano gesticulando ,https://media.istockphoto.com/id/1019095788/es/foto/ind%C3%ADgenas-brasile%C3%B1o-joven-haciendo-una-mano-gesticulando-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Nuf1zUHUUvAsjnigCZogSuItByMpOKSHGYuW1sEHXV4=
25,retrato de un niño nativo de la etnia guaraní tupí ,https://media.istockphoto.com/id/1268049403/es/foto/retrato-de-un-ni%C3%B1o-nativo-de-la-etnia-guaran%C3%AD-tup%C3%AD.jpg?s=612x612&w=0&k=20&c=OoZPeFcTMQdmilMBWB0L4aYMHcJXay_hzurV8VLpb8s=
26,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/814700576/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=tnv7M0brRhH7SH6hu2Z9N8LKLbM4S-Fy-36hgCo-7OI=
27,amazon mujer india ,https://media.istockphoto.com/id/144209543/es/foto/amazon-mujer-india.jpg?s=612x612&w=0&k=20&c=1IowO_DGZAnIbHl3s2aTnuB4j4Jh2ATPf8aGrj5qbwA=
28,mujer india ,https://media.istockphoto.com/id/144209535/es/foto/mujer-india.jpg?s=612x612&w=0&k=20&c=YGIT5t8f1pm9b26kUrWIEJ99JjGAW6CfxY28WqXP3IM=
29,joven indígena con pintura tribal corporal montando canoa ,https://media.istockphoto.com/id/1392112639/es/foto/joven-ind%C3%ADgena-con-pintura-tribal-corporal-montando-canoa.jpg?s=612x612&w=0&k=20&c=3FiFNEwcCJ2DZfwQld-qbMjrPsllaJSiUHqMstuG8EQ=
30,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1018400936/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=0QI7uwbRtk1EudWV6Tu3cl9HBcObaVmS2pntiTx_MLk=
31,"indígenas brasileños jóvenes hombre retrato de etnia guaraní, mostrando su casa ",https://media.istockphoto.com/id/1017413936/es/foto/ind%C3%ADgenas-brasile%C3%B1os-j%C3%B3venes-hombre-retrato-de-etnia-guaran%C3%AD-mostrando-su-casa.jpg?s=612x612&w=0&k=20&c=wPMx5eXoosHTgVvNmLXinqk_S84_nJ2bvhM2Lk3wH0k=
32,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1018404484/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=5lhQIeKkBpN6TDhp6gsyNJ_RTspQdQHraIOJsXL5lYA=
33,"niño indígena brasileña, retrato de tupi guaraní etnia ",https://media.istockphoto.com/id/1018492982/es/foto/ni%C3%B1o-ind%C3%ADgena-brasile%C3%B1a-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=JRbA7cppvyLCHyf70XTDWkRdJo2HtgjYzqWJcczwG1A=
34,retrato de hombre joven brasileño indígenas de la etnia guaraní en el hogar ,https://media.istockphoto.com/id/1018439398/es/foto/retrato-de-hombre-joven-brasile%C3%B1o-ind%C3%ADgenas-de-la-etnia-guaran%C3%AD-en-el-hogar.jpg?s=612x612&w=0&k=20&c=Rp17JsYgyIcisxNR4kcKexZB1POj7lYK5yfY4mXGt4c=
