,Descripción,Link
0,"joven guerrera hermosa mujer vestida con ropa amazónica o guerrera medieval con ramo de flores en lugar de armas cerca del árbol de flores de cerezo en el jardín de primavera, paisaje pintoresco",https://www.shutterstock.com/image-photo/young-beautiful-warrior-girl-woman-600nw-2215965137.jpg
1,"retratos de mujeres jóvenes con patrones tribales que cubren su cuerpo, salvaje y hermoso, mar, arena, negro

",https://www.shutterstock.com/image-photo/portraits-young-woman-tribal-patterns-600nw-1813346908.jpg
2,"la expresión extática del viejo chamán que realiza su ritual de dar la bienvenida a los visitantes a su tribu dessana. ciudad de manaos, estado de amazonas, brasil 26 de octubre de 2024",https://www.shutterstock.com/image-photo/ecstatic-expression-old-shaman-performing-600nw-2522468537.jpg
3,"mujer indígena brasileña de grupo étnico celebra el día internacional de los pueblos indígenas con canciones tradicionales y bailes con disfraces típicos - río de janeiro, brasil 08.12.2023",https://www.shutterstock.com/image-photo/brazilian-indigenous-woman-ethnic-group-600nw-2355428885.jpg
4,mujer frente a casas con techo de paja en el pueblo de puyanawa,https://www.shutterstock.com/image-photo/woman-front-thatched-houses-puyanawa-600nw-2397820045.jpg
5,retrato de mujer india al aire libre. fondo con espacio de texto libre,https://www.shutterstock.com/image-photo/indian-woman-portrait-outdoors-background-600nw-2299740645.jpg
6,"foto del jefe del grupo étnico dessana sosteniendo un tipo de flauta con un llamativo tocado en la cabeza. ciudad de manaos, estado de amazonas, brasil, 11 de noviembre de 2024.",https://www.shutterstock.com/image-photo/photo-chief-dessana-ethnic-group-600nw-2544057433.jpg
7,mujer hermosa con flor exótica,https://www.shutterstock.com/image-photo/beautiful-woman-exotic-flower-600nw-16152649.jpg
8,cierre de ayahuasca. listo para cocinar liana. corteza de vid con moho. ceremonias chamánicas en el valle del río amazonas,https://www.shutterstock.com/image-photo/closeup-ayahuasca-ready-cook-liana-600nw-2131812849.jpg
9,hombre con sombrero lee un libro sentado en una roca junto al río,https://www.shutterstock.com/image-photo/lifestyle-man-hat-reads-book-600nw-2455672093.jpg
